Region,Habitacion,2018,2019,2020,2021,2022
Norte,Estandar,100000,105000,95000,110000,115000
Norte,Deluxe,50000,52000,48000,53000,55000
Norte,Suite,25000,26000,24000,27000,28000
Sur,Estandar,80000,82000,78000,83000,85000
Sur,Deluxe,40000,41000,39000,42000,43000
Sur,Suite,20000,20500,19500,21000,21500
Este,Estandar,90000,93000,88000,94000,96000
Este,Deluxe,45000,46000,44000,47000,48000
Este,Suite,22500,23000,22000,23500,24000
Oeste,Estandar,70000,72000,68000,73000,75000
Oeste,Deluxe,35000,36000,34000,37000,38000
Oeste,Suite,17500,18000,17000,18500,19000
